step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
315,13.625184,136251.84,33648413.58,0.154451,132887.00
316,8.353645,83536.45,33742069.13,0.155326,80162.24
317,8.061716,80617.16,33837411.97,0.152472,77233.42
318,7.367402,73674.02,33939577.95,0.159790,70280.06
319,3.055093,30550.93,34083507.02,0.163873,27142.58
320,4.456803,44568.03,34215026.99,0.156759,41146.52
321,2.676598,26765.98,34365285.02,0.167676,23329.45
322,9.063664,90636.64,34450064.37,0.155889,87191.64
323,3.485796,34857.96,34590966.42,0.152590,31398.86
324,7.019441,70194.41,34696980.00,0.154513,66724.71
325,6.413200,64132.00,34807704.00,0.151292,60651.23
326,8.755238,87552.38,34897703.63,0.154222,84062.61
327,5.748916,57489.16,35016054.47,0.153586,53987.55
328,2.952747,29527.47,35162911.00,0.155959,26011.18
329,3.448628,34486.28,35303240.72,0.153754,30955.95
330,10.834259,108342.59,35371194.14,0.154164,104805.47
331,3.812707,38127.07,35508275.07,0.150476,34576.24
332,9.439644,94396.44,35589614.63,0.152291,90837.48
333,6.701268,67012.68,35696993.95,0.153778,63442.98
334,5.570802,55708.02,35817149.93,0.154977,52126.31
335,12.618069,126180.69,35867289.24,0.153653,122593.96
336,3.096699,30966.99,36012498.25,0.153614,27365.74
337,3.334021,33340.21,36156294.04,0.152831,29724.58
338,1.962407,19624.07,36314029.97,0.157162,15992.67
339,2.473314,24733.14,36464504.82,0.275673,21086.69
340,7.907905,79079.05,36560729.78,0.155469,75422.98
341,6.097210,60972.10,36677509.68,0.154182,57304.35
342,5.574657,55746.57,36798219.11,0.155226,52066.74
343,4.953931,49539.31,36925319.80,0.155622,45846.78
344,8.687872,86878.72,37014889.08,0.154622,83177.23
345,3.248249,32482.49,37160046.60,0.158526,28766.48
346,7.970754,79707.54,37254139.06,0.156519,75982.13
347,4.892248,48922.48,37379624.58,0.156509,45184.52
348,6.629490,66294.90,37490913.68,0.156360,62545.81
349,6.483452,64834.52,37602647.16,0.154602,61074.25
350,4.694849,46948.49,37729106.67,0.157059,43175.58
351,4.899774,48997.74,37854836.94,0.153891,45212.25
352,6.619656,66196.56,37965360.38,0.191869,62400.02
353,11.084855,110848.55,38031407.82,0.187478,107045.41
354,10.586652,105866.52,38100077.31,0.156723,102056.51
355,7.010305,70103.05,38205382.26,0.157054,66282.51
356,6.875774,68757.74,38313200.52,0.156030,64926.42
357,5.542402,55424.02,38432776.51,0.153416,51580.74
358,3.892989,38929.89,38569134.61,0.156203,35072.98
359,6.862428,68624.28,38676142.33,0.154575,64756.67
360,11.858155,118581.55,38732560.78,0.154804,114708.30
361,6.586743,65867.43,38842765.35,0.154982,61983.15
362,10.765772,107657.72,38910227.63,0.155019,103766.69
363,12.409540,124095.40,38961148.23,0.154312,120199.28
364,4.386855,43868.55,39093479.68,0.156905,39959.21
365,3.572224,35722.24,39236269.44,0.155134,31798.62
366,12.865742,128657.42,39283588.02,0.155783,124729.06
367,3.648997,36489.97,39423074.05,0.155862,32547.66
368,11.335692,113356.92,39486813.13,0.157294,109408.23
369,9.665649,96656.49,39564812.64,0.154619,92700.01
370,8.135427,81354.27,39661858.38,0.156433,77388.08
371,8.142299,81422.99,39757371.38,0.155780,77447.26
372,2.981900,29819.00,39903032.38,0.234270,25828.70
373,3.890275,38902.75,40040625.62,0.152600,34898.69
374,16.883920,168839.20,40046890.42,0.158068,164834.51
375,4.801639,48016.39,40172818.03,0.153224,43999.11
376,13.472422,134724.22,40214605.81,0.154440,130702.76
377,7.395466,73954.66,40317211.15,0.153225,69922.94
378,5.995723,59957.23,40432221.91,0.154098,55914.01
379,3.303304,33033.04,40575932.87,0.156411,28975.45
380,3.057099,30570.99,40721273.88,0.154950,26498.86
381,6.954999,69549.99,40827899.89,0.152867,65467.20
382,12.411941,124119.41,40880044.49,0.155169,120031.40
383,5.366108,53661.08,41003071.41,0.153973,49560.77
384,6.337047,63370.47,41116628.94,0.154648,59258.81
385,4.201511,42015.11,41251581.83,0.152374,37889.95
386,5.390833,53908.33,41373193.50,0.153019,49771.01
387,9.192971,91929.71,41456807.79,0.158744,87784.03
388,2.776970,27769.70,41603878.09,0.209801,23609.31
389,2.647951,26479.51,41752534.58,0.153495,22304.26
390,10.583227,105832.27,41820494.31,0.156205,101650.22
391,8.228359,82283.59,41914122.72,0.160202,78092.18
392,10.413876,104138.76,41987143.96,0.161185,99940.05
393,7.667982,76679.82,42088192.14,0.153976,72471.00
394,8.943266,89432.66,42175087.48,0.153572,85215.15
395,6.133302,61333.02,42287034.46,0.153337,57104.31
396,4.645038,46450.38,42416112.08,0.154992,42208.77
397,4.401911,44019.11,42548036.97,0.155267,39764.31
398,3.824733,38247.33,42687645.64,0.155100,33978.57
399,11.230917,112309.17,42751816.47,0.154771,108033.99
400,4.472085,44720.85,42883319.62,0.154783,40432.52
401,3.677482,36774.82,43023272.80,0.152831,32472.49
402,12.006999,120069.99,43079306.81,0.155332,115762.06
403,13.500871,135008.71,43119642.09,0.155298,130696.75
404,7.137685,71376.85,43224729.24,0.156057,67054.38
405,8.983120,89831.20,43310962.04,0.152984,85500.10
406,6.027987,60279.87,43426466.17,0.248835,55937.23
